Taille,1230498
Type,N-gramme,Valeur
Ungramme,"☀",1
Ungramme,"	",10090
Ungramme," ",1
Ungramme,"
",11024
Ungramme,"ď",2
Ungramme,"–",21
Ungramme,"—",8
Ungramme,"‘",10
Ungramme,"’",2105
Ungramme,"“",11
Ungramme,"”",12
Ungramme," ",180563
Ungramme,"†",9
Ungramme,"!",177
Ungramme,"""",1187
Ungramme,"•",29
Ungramme,"™",5
Ungramme,"$",23
Ungramme,"%",110
Ungramme,"&",52
Ungramme,"…",66
Ungramme,"'",7266
Ungramme,"(",1285
Ungramme,")",1229
Ungramme,"*",43
Ungramme,"+",42
Ungramme,",",10337
Ungramme,"-",2127
Ungramme,".",10506
Ungramme,"/",413
Ungramme," ",6
Ungramme,"0",5073
Ungramme,"1",6144
Ungramme,"2",5776
Ungramme,"′",4
Ungramme,"3",4838
Ungramme,"″",4
Ungramme,"4",4723
Ungramme,"5",4702
Ungramme,"6",4540
Ungramme,"7",4587
Ungramme,"8",4570
Ungramme,"9",4832
Ungramme,":",1056
Ungramme,";",134
Ungramme,"<",3
Ungramme,">",4
Ungramme,"ľ",1
Ungramme,"?",134
Ungramme,"@",19
Ungramme,"A",2280
Ungramme,"B",1218
Ungramme,"C",2860
Ungramme,"D",1508
Ungramme,"E",1868
Ungramme,"F",948
Ungramme,"G",719
Ungramme,"H",521
Ungramme,"I",1591
Ungramme,"J",757
Ungramme,"K",258
Ungramme,"L",3418
Ungramme,"M",1728
Ungramme,"N",1171
Ungramme,"O",749
Ungramme,"P",1892
Ungramme,"Q",206
Ungramme,"Œ",2
Ungramme,"R",1115
Ungramme,"S",2086
Ungramme,"œ",88
Ungramme,"T",1156
Ungramme,"U",711
Ungramme,"V",920
Ungramme,"W",257
Ungramme,"X",179
Ungramme,"Y",96
Ungramme,"Z",80
Ungramme,"[",51
Ungramme,"]",51
Ungramme,"`",2
Ungramme,"a",65849
Ungramme,"b",7824
Ungramme,"c",30216
Ungramme,"d",35288
Ungramme,"e",136241
Ungramme,"f",9677
Ungramme,"♦",1
Ungramme,"g",9600
Ungramme,"h",8011
Ungramme,"i",64946
Ungramme,"j",2903
Ungramme,"k",741
Ungramme,"l",46516
Ungramme,"m",23238
Ungramme,"n",65931
Ungramme,"o",53629
Ungramme,"p",26521
Ungramme,"q",7580
Ungramme,"r",65438
Ungramme,"s",75627
Ungramme,"t",65614
Ungramme,"u",53101
Ungramme,"v",14341
Ungramme,"w",337
Ungramme,"x",3969
Ungramme,"y",2430
Ungramme,"z",1756
Ungramme,"|",5
Ungramme,"~",6
Ungramme,"ž",1
Ungramme,"¦",1
Ungramme,"§",1
Ungramme,"¨",46
Ungramme,"©",1
Ungramme,"«",404
Ungramme,"€",59
Ungramme,"®",10
Ungramme,"°",68
Ungramme,"²",7
Ungramme,"´",12
Ungramme,"µ",1
Ungramme,"·",13
Ungramme,"¹",1
Ungramme,"»",416
Ungramme,"½",1
Ungramme,"À",33
Ungramme,"Â",2
Ungramme,"Ç",8
Ungramme,"É",110
